series_id,description,units
PET.MCRFPAR1.M,Arkansas Field Production of Crude Oil,Mbbl
PET.MCRFPAZ1.M,Arizona Field Production of Crude Oil,Mbbl
PET.MCRFPCA1.M,California Field Production of Crude Oil,Mbbl
PET.MCRFPCO1.M,Colorado Field Production of Crude Oil,Mbbl
PET.MCRFPFL1.M,Florida Field Production of Crude Oil,Mbbl
PET.MCRFPIL1.M,Illinois Field Production of Crude Oil,Mbbl
PET.MCRFPIN1.M,Indiana Field Production of Crude Oil,Mbbl
PET.MCRFPKS1.M,Kansas Field Production of Crude Oil,Mbbl
PET.MCRFPKY1.M,Kentucky Field Production of Crude Oil,Mbbl
PET.MCRFPLA1.M,Louisiana Field Production of Crude Oil,Mbbl
PET.MCRFPMO1.M,Missouri Field Production of Crude Oil,Mbbl
PET.MCRFPMS1.M,Mississippi Field Production of Crude Oil,Mbbl
PET.MCRFPMT1.M,Montana Field Production of Crude Oil,Mbbl
PET.MCRFPND1.M,North Dakota Field Production of Crude Oil,Mbbl
PET.MCRFPNE1.M,Nebraska Field Production of Crude Oil,Mbbl
PET.MCRFPNM1.M,New Mexico Field Production of Crude Oil,Mbbl
PET.MCRFPNV1.M,Nevada Field Production of Crude Oil,Mbbl
PET.MCRFPNY1.M,New York Field Production of Crude Oil,Mbbl
PET.MCRFPOH1.M,Ohio Field Production of Crude Oil,Mbbl
PET.MCRFPOK1.M,Oklahoma Field Production of Crude Oil,Mbbl
PET.MCRFPP11.M,East Coast (PADD 1) Field Production of Crude Oil,Mbbl
PET.MCRFPP21.M,Midwest (PADD 2) Field Production of Crude Oil,Mbbl
PET.MCRFPP31.M,Gulf Coast (PADD 3) Field Production of Crude Oil,Mbbl
PET.MCRFPP41.M,Rocky Mountain (PADD 4) Field Production of Crude Oil,Mbbl
PET.MCRFPP51.M,West Coast (PADD 5) Field Production of Crude Oil,Mbbl
PET.MCRFPPA1.M,Pennsylvania Field Production of Crude Oil,Mbbl
PET.MCRFPSD1.M,South Dakota Field Production of Crude Oil,Mbbl
PET.MCRFPTN1.M,Tennessee Field Production of Crude Oil,Mbbl
PET.MCRFPTX1.M,Texas Field Production of Crude Oil,Mbbl
PET.MCRFPUS1.M,U.S. Field Production of Crude Oil,Mbbl
PET.MCRFPUT1.M,Utah Field Production of Crude Oil,Mbbl
PET.MCRFPVA1.M,Virginia Field Production of Crude Oil,Mbbl
PET.MCRFPWV1.M,West Virginia Field Production of Crude Oil,Mbbl
PET.MCRFPWY1.M,Wyoming Field Production of Crude Oil,Mbbl
PET.MCRFP_SMI_1.M,Michigan Field Production of Crude Oil,Mbbl
PET.MCRIMIZ1.M,U.S. Imports from Iraq of Crude Oil,Mbbl
PET.MCRIMLY1.M,U.S. Imports from Libya of Crude Oil,Mbbl
PET.MCRIMMY1.M,U.S. Imports from Malaysia of Crude Oil,Mbbl
PET.MCRIMP11.M,East Coast (PADD 1) Imports of Crude Oil,Mbbl
PET.MCRIMP21.M,Midwest (PADD 2) Imports of Crude Oil,Mbbl
PET.MCRIMP31.M,Gulf Coast (PADD 3) Imports of Crude Oil,Mbbl
PET.MCRIMP41.M,Rocky Mountain (PADD 4) Imports of Crude Oil,Mbbl
PET.MCRIMP51.M,West Coast (PADD 5) Imports of Crude Oil,Mbbl
PET.MCRIMUS1.M,U.S. Imports of Crude Oil,Mbbl
PET.MCRIMUSAG1.M,U.S. Imports from Algeria of Crude Oil,Mbbl
PET.MCRIMUSAO1.M,U.S. Imports from Angola of Crude Oil,Mbbl
PET.MCRIMUSAR1.M,U.S. Imports from Argentina of Crude Oil,Mbbl
PET.MCRIMUSAS1.M,U.S. Imports from Australia of Crude Oil,Mbbl
PET.MCRIMUSBR1.M,U.S. Imports from Brazil of Crude Oil,Mbbl
PET.MCRIMUSBX1.M,U.S. Imports from Brunei of Crude Oil,Mbbl
PET.MCRIMUSCA1.M,U.S. Imports from Canada of Crude Oil,Mbbl
PET.MCRIMUSCF1.M,U.S. Imports from Congo (Brazzaville) of Crude Oil,Mbbl
PET.MCRIMUSCM1.M,U.S. Imports from Cameroon of Crude Oil,Mbbl
PET.MCRIMUSCO1.M,U.S. Imports from Colombia of Crude Oil,Mbbl
PET.MCRIMUSEC1.M,U.S. Imports from Ecuador of Crude Oil,Mbbl
PET.MCRIMUSEG1.M,U.S. Imports from Egypt of Crude Oil,Mbbl
PET.MCRIMUSGB1.M,U.S. Imports from Gabon of Crude Oil,Mbbl
PET.MCRIMUSGT1.M,U.S. Imports from Guatemala of Crude Oil,Mbbl
PET.MCRIMUSID1.M,U.S. Imports from Indonesia of Crude Oil,Mbbl
PET.MCRIMUSKU1.M,U.S. Imports from Kuwait of Crude Oil,Mbbl
PET.MCRIMUSMX1.M,U.S. Imports from Mexico of Crude Oil,Mbbl
PET.MCRIMUSNI1.M,U.S. Imports from Nigeria of Crude Oil,Mbbl
PET.MCRIMUSNL1.M,U.S. Imports from Netherlands of Crude Oil,Mbbl
PET.MCRIMUSNO1.M,U.S. Imports from Norway of Crude Oil,Mbbl
PET.MCRIMUSPE1.M,U.S. Imports from Peru of Crude Oil,Mbbl
PET.MCRIMUSPG1.M,U.S. Imports from Persian Gulf Countries of Crude Oil,Mbbl
PET.MCRIMUSSA1.M,U.S. Imports from Saudi Arabia of Crude Oil,Mbbl
PET.MCRIMUSSP1.M,U.S. Imports from Spain of Crude Oil,Mbbl
PET.MCRIMUSTC1.M,U.S. Imports from United Arab Emirates of Crude Oil,Mbbl
PET.MCRIMUSTD1.M,U.S. Imports from Trinidad and Tobago of Crude Oil,Mbbl
PET.MCRIMUSTH1.M,U.S. Imports from Thailand of Crude Oil,Mbbl
PET.MCRIMUSUK1.M,U.S. Imports from United Kingdom of Crude Oil,Mbbl
PET.MCRIMUSVE1.M,U.S. Imports from Venezuela of Crude Oil,Mbbl
PET.MCRIMUSVV1.M,U.S. Imports from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIMUSYE1.M,U.S. Imports from Yemen of Crude Oil,Mbbl
PET.MCRIMXX1.M,U.S. Imports from OPEC Countries of Crude Oil,Mbbl
PET.MCRIM_NUS-NAJ_1.M,U.S. Imports from Azerbaijan of Crude Oil,Mbbl
PET.MCRIM_NUS-NAL_1.M,U.S. Imports from Albania of Crude Oil,Mbbl
PET.MCRIM_NUS-NBH_1.M,U.S. Imports from Belize of Crude Oil,Mbbl
PET.MCRIM_NUS-NBL_1.M,U.S. Imports from Bolivia of Crude Oil,Mbbl
PET.MCRIM_NUS-NCD_1.M,U.S. Imports from Chad of Crude Oil,Mbbl
PET.MCRIM_NUS-NDA_1.M,U.S. Imports from Denmark of Crude Oil,Mbbl
PET.MCRIM_NUS-NEK_1.M,U.S. Imports from Equatorial Guinea of Crude Oil,Mbbl
PET.MCRIM_NUS-NGH_1.M,U.S. Imports from Ghana of Crude Oil,Mbbl
PET.MCRIM_NUS-NIT_1.M,U.S. Imports from Italy of Crude Oil,Mbbl
PET.MCRIM_NUS-NIV_1.M,U.S. Imports from Ivory Coast (Cote d'Ivore) of Crude Oil,Mbbl
PET.MCRIM_NUS-NKZ_1.M,U.S. Imports from Kazakhstan of Crude Oil,Mbbl
PET.MCRIM_NUS-NMR_1.M,U.S. Imports from Mauritania of Crude Oil,Mbbl
PET.MCRIM_NUS-NMU_1.M,U.S. Imports from Oman of Crude Oil,Mbbl
PET.MCRIM_NUS-NPP_1.M,U.S. Imports from Papua New Guinea of Crude Oil,Mbbl
PET.MCRIM_NUS-NRS_1.M,U.S. Imports from Russia of Crude Oil,Mbbl
PET.MCRIM_NUS-NTS_1.M,U.S. Imports from Tunisia of Crude Oil,Mbbl
PET.MCRIM_NUS-NVM_1.M,U.S. Imports from Vietnam of Crude Oil,Mbbl
PET.MCRIPP11.M,East Coast (PADD 1) Imports by PADD of Processing of Crude Oil,Mbbl
PET.MCRIPP1AG1.M,East Coast (PADD 1) Imports by PADD of Processing from Algeria of Crude Oil,Mbbl
PET.MCRIPP1AO1.M,East Coast (PADD 1) Imports by PADD of Processing from Angola of Crude Oil,Mbbl
PET.MCRIPP1BR1.M,East Coast (PADD 1) Imports by PADD of Processing from Brazil of Crude Oil,Mbbl
PET.MCRIPP1CA1.M,East Coast (PADD 1) Imports by PADD of Processing from Canada of Crude Oil,Mbbl
PET.MCRIPP1CM1.M,East Coast (PADD 1) Imports by PADD of Processing from Cameroon of Crude Oil,Mbbl
PET.MCRIPP1CO1.M,East Coast (PADD 1) Imports by PADD of Processing from Colombia of Crude Oil,Mbbl
PET.MCRIPP1EG1.M,East Coast (PADD 1) Imports by PADD of Processing from Egypt of Crude Oil,Mbbl
PET.MCRIPP1GB1.M,East Coast (PADD 1) Imports by PADD of Processing from Gabon of Crude Oil,Mbbl
PET.MCRIPP1MX1.M,East Coast (PADD 1) Imports by PADD of Processing from Mexico of Crude Oil,Mbbl
PET.MCRIPP1NI1.M,East Coast (PADD 1) Imports by PADD of Processing from Nigeria of Crude Oil,Mbbl
PET.MCRIPP1NO1.M,East Coast (PADD 1) Imports by PADD of Processing from Norway of Crude Oil,Mbbl
PET.MCRIPP1PG1.M,East Coast (PADD 1) Imports by PADD of Processing from Persian Gulf Countries of Crude Oil,Mbbl
PET.MCRIPP1SA1.M,East Coast (PADD 1) Imports by PADD of Processing from Saudi Arabia of Crude Oil,Mbbl
PET.MCRIPP1TD1.M,East Coast (PADD 1) Imports by PADD of Processing from Trinidad and Tobago of Crude Oil,Mbbl
PET.MCRIPP1UK1.M,East Coast (PADD 1) Imports by PADD of Processing from United Kingdom of Crude Oil,Mbbl
PET.MCRIPP1VE1.M,East Coast (PADD 1) Imports by PADD of Processing from Venezuela of Crude Oil,Mbbl
PET.MCRIPP1VV1.M,East Coast (PADD 1) Imports by PADD of Processing from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIPP21.M,Midwest (PADD 2) Imports by PADD of Processing of Crude Oil,Mbbl
PET.MCRIPP2CA1.M,Midwest (PADD 2) Imports by PADD of Processing from Canada of Crude Oil,Mbbl
PET.MCRIPP2CO1.M,Midwest (PADD 2) Imports by PADD of Processing from Colombia of Crude Oil,Mbbl
PET.MCRIPP2MX1.M,Midwest (PADD 2) Imports by PADD of Processing from Mexico of Crude Oil,Mbbl
PET.MCRIPP2PG1.M,Midwest (PADD 2) Imports by PADD of Processing from Persian Gulf Countries of Crude Oil,Mbbl
PET.MCRIPP2SA1.M,Midwest (PADD 2) Imports by PADD of Processing from Saudi Arabia of Crude Oil,Mbbl
PET.MCRIPP2VE1.M,Midwest (PADD 2) Imports by PADD of Processing from Venezuela of Crude Oil,Mbbl
PET.MCRIPP2VV1.M,Midwest (PADD 2) Imports by PADD of Processing from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIPP31.M,Gulf Coast (PADD 3) Imports by PADD of Processing of Crude Oil,Mbbl
PET.MCRIPP3AG1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Algeria of Crude Oil,Mbbl
PET.MCRIPP3AO1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Angola of Crude Oil,Mbbl
PET.MCRIPP3AR1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Argentina of Crude Oil,Mbbl
PET.MCRIPP3AS1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Australia of Crude Oil,Mbbl
PET.MCRIPP3CA1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Canada of Crude Oil,Mbbl
PET.MCRIPP3CF1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Congo (Brazzaville) of Crude Oil,Mbbl
PET.MCRIPP3CO1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Colombia of Crude Oil,Mbbl
PET.MCRIPP3EC1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Ecuador of Crude Oil,Mbbl
PET.MCRIPP3EG1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Egypt of Crude Oil,Mbbl
PET.MCRIPP3GB1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Gabon of Crude Oil,Mbbl
PET.MCRIPP3KU1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Kuwait of Crude Oil,Mbbl
PET.MCRIPP3MX1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Mexico of Crude Oil,Mbbl
PET.MCRIPP3NI1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Nigeria of Crude Oil,Mbbl
PET.MCRIPP3NO1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Norway of Crude Oil,Mbbl
PET.MCRIPP3PG1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Persian Gulf Countries of Crude Oil,Mbbl
PET.MCRIPP3SA1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Saudi Arabia of Crude Oil,Mbbl
PET.MCRIPP3TC1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from United Arab Emirates of Crude Oil,Mbbl
PET.MCRIPP3TD1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Trinidad and Tobago of Crude Oil,Mbbl
PET.MCRIPP3UK1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from United Kingdom of Crude Oil,Mbbl
PET.MCRIPP3VE1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Venezuela of Crude Oil,Mbbl
PET.MCRIPP3VV1.M,Gulf Coast (PADD 3) Imports by PADD of Processing from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIPP41.M,Rocky Mountain (PADD 4) Imports by PADD of Processing of Crude Oil,Mbbl
PET.MCRIPP4CA1.M,Rocky Mountain (PADD 4) Imports by PADD of Processing from Canada of Crude Oil,Mbbl
PET.MCRIPP4VV1.M,Rocky Mountain (PADD 4) Imports by PADD of Processing from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIPP51.M,West Coast (PADD 5) Imports by PADD of Processing of Crude Oil,Mbbl
PET.MCRIPP5AR1.M,West Coast (PADD 5) Imports by PADD of Processing from Argentina of Crude Oil,Mbbl
PET.MCRIPP5AS1.M,West Coast (PADD 5) Imports by PADD of Processing from Australia of Crude Oil,Mbbl
PET.MCRIPP5CA1.M,West Coast (PADD 5) Imports by PADD of Processing from Canada of Crude Oil,Mbbl
PET.MCRIPP5CF1.M,West Coast (PADD 5) Imports by PADD of Processing from Congo (Brazzaville) of Crude Oil,Mbbl
PET.MCRIPP5CO1.M,West Coast (PADD 5) Imports by PADD of Processing from Colombia of Crude Oil,Mbbl
PET.MCRIPP5EC1.M,West Coast (PADD 5) Imports by PADD of Processing from Ecuador of Crude Oil,Mbbl
PET.MCRIPP5ID1.M,West Coast (PADD 5) Imports by PADD of Processing from Indonesia of Crude Oil,Mbbl
PET.MCRIPP5MX1.M,West Coast (PADD 5) Imports by PADD of Processing from Mexico of Crude Oil,Mbbl
PET.MCRIPP5PE1.M,West Coast (PADD 5) Imports by PADD of Processing from Peru of Crude Oil,Mbbl
PET.MCRIPP5PG1.M,West Coast (PADD 5) Imports by PADD of Processing from Persian Gulf Countries of Crude Oil,Mbbl
PET.MCRIPP5SA1.M,West Coast (PADD 5) Imports by PADD of Processing from Saudi Arabia of Crude Oil,Mbbl
PET.MCRIPP5UK1.M,West Coast (PADD 5) Imports by PADD of Processing from United Kingdom of Crude Oil,Mbbl
PET.MCRIPP5VE1.M,West Coast (PADD 5) Imports by PADD of Processing from Venezuela of Crude Oil,Mbbl
PET.MCRIPP5VV1.M,West Coast (PADD 5) Imports by PADD of Processing from Non-OPEC Countries of Crude Oil,Mbbl
PET.MCRIP_R10-ME0_1.M,East Coast (PADD 1) Imports by PADD of Processing from OPEC Countries of Crude Oil,Mbbl
PET.MCRIP_R10-NAJ_1.M,East Coast (PADD 1) Imports by PADD of Processing from Azerbaijan of Crude Oil,Mbbl
PET.MCRIP_R10-NAL_1.M,East Coast (PADD 1) Imports by PADD of Processing from Albania of Crude Oil,Mbbl
PET.MCRIP_R10-NAR_1.M,East Coast (PADD 1) Imports by PADD of Processing from Argentina of Crude Oil,Mbbl
PET.MCRIP_R10-NCD_1.M,East Coast (PADD 1) Imports by PADD of Processing from Chad of Crude Oil,Mbbl
